,idx,source,w1,w2,w1_lemma,w2_lemma,rel_type,note,total_freq,w1_freq,w2_freq,rel_type_total_freq,MI,t-score,z-score,logDice,ΔP(w1->w2),ΔP(w2->w1),acad,blog,fic,mag,news,spok,tvm,web,log_freq,w1_log,w2_log,PC1,PC2,PC3
0,1,GFS2015,last,night,last,night,mod_noun,,53190,578595,152768,64729561,5.283611619,200.61107730999987,1402.434485,11.2186393,0.090377343,0.340038883,170,6018,6838,1351,1759,13308,19630,4116,4.72582999032058,5.762374676318891,5.184032392990642,5.93974972769746,-3.0023745536427953,-0.7245926125126476
2,3,GFS2015,nuclear,weapons,nuclear,weapon,mod_noun,,14135,68835,46899,64729561,8.146781418,118.4712154,1954.029858599999,11.96083607,0.204839411,0.300546687,2628,1161,154,1548,1742,4283,326,2293,4.150295812825538,4.837809316750341,4.671163582606086,6.431273685965338,0.3979455359116724,-0.26384136480522186
3,4,GFS2015,interest,rates,interest,rate,mod_noun,,15631,25657,195025,64729561,7.659679424,124.4056965,1769.036928,11.18051302,0.3273056683999996,0.07999334,1360,2401,74,2908,3424,2935,116,2413,4.193986763085695,4.409205874189573,5.290090286573402,6.182545603366052,1.363238831946306,-2.500332954518022
4,5,GFS2015,human,being,human,being,mod_noun,,28539,201004,51308,64729561,7.484807692,167.991777,1954.029858599999,11.85579787,0.141629398,0.553562541,5084,4932,2402,3051,1759,3747,2779,4785,4.4554387514664135,5.30320470001075,4.710185086066562,7.368014758377898,-1.737563834337557,1.0971834249980357
5,6,GFS2015,spend,time,spend,time,verb_obj,,39791,174224,269365,33005666,4.80657818,192.348807,1017.54026,11.52129047,0.221397385,0.143614951,2826,7163,4012,5685,4511,4896,4976,5722,4.599784853673271,5.24110798046283,5.430341164904593,5.537189116897979,-1.6417512567119334,-2.806049276203204
6,7,GFS2015,hard,work,hard,work,mod_noun,,11872,98407,154106,64729561,5.66315993,106.8084975,760.3198175,10.58927724,0.118441121,0.075697823,782,2646,926,1565,1487,1292,1134,2040,4.0745238879349515,4.993025992265144,5.1878195479732145,2.941561988701763,-0.5579226659356649,-1.5769805483365897
7,8,GFS2015,wide,range,wide,range,mod_noun,,9349,67261,55967,64729561,7.328746322,96.08876237,1218.312882,11.27962576,0.138274906,0.166149415,3521,1060,132,1759,967,348,67,1495,3.970765159780768,4.8277633198809875,4.747932028036543,4.090551829378517,0.24099262310335026,-0.6785700245253916
8,9,GFS2015,vast,majority,vast,majority,mod_noun,,10375,34451,26639,64729561,9.515234554,101.7185491,1954.029858599999,11.96083607,0.300900967,0.389094471,1661,2492,111,1446,1341,1257,75,1992,4.01598810538413,4.537201832576845,4.425517917846864,7.10302734027386,1.5043980381696198,0.14034544886926842
9,10,GFS2015,commit,suicide,commit,suicide,verb_obj,,5457,29010,8598,33005666,9.496054632,73.76920911,1954.029858599999,11.96083607,0.1880123,0.6103594658999991,356,640,475,551,724,1094,827,790,3.736953953783146,4.462547728802664,3.9343974407809883,6.457071575723323,0.7813555364469031,2.520351283319095
10,11,GFS2015,human,nature,human,nature,mod_noun,,5414,201004,39596,64729561,5.460468794,71.90882015,477.1606393,9.526202055,0.026405068,0.133707485,1242,933,259,550,307,367,309,1447,3.7335182514344876,5.30320470001075,4.597651315580316,1.2256320242832563,-0.8379274715619465,-0.25733132167801265
